Surname,CreditScore,Geography,Gender,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Exited
Palerma,686,France,Female,41,7,145536.9,2,0,1,132374.41,0
Law,636,France,Female,24,9,116755.5,2,0,1,38830.72,0
Miller,598,Germany,Male,41,3,121394.42,1,1,0,191468.78,1
Fleming,696,Spain,Female,43,4,154333.82,2,1,1,66406.37,0
Nwokike,777,France,Male,39,8,101043.63,2,1,1,18613.52,0
Tsai,689,Spain,Male,73,1,141074.59,1,0,1,167969.15,0
Thorpe,695,Germany,Male,40,7,150593.59,1,0,1,193383.13,0
Hutchinson,575,Spain,Female,26,7,111739.4,2,1,0,112507.63,0
Drake-Brockman,733,France,Male,42,9,103873.39,1,1,0,184056.45,0
Collier,683,France,Male,33,8,121151.05,1,0,0,73564.44,0
Manfrin,777,France,Female,28,2,125822.21,1,0,1,118313.38,0
Toscano,646,Germany,Male,48,8,125512.98,2,1,1,175657.55,0
P'an,593,Spain,Female,38,4,92055.36,2,1,0,67020.03,0
Clifton,708,France,Male,52,10,104145.65,1,1,0,123.07,1
Pisano,605,Germany,Female,31,1,115451.05,1,1,1,183598.77,0
Chubb,607,France,Male,26,1,116320.68,1,1,0,29818.2,0
Lo,693,France,Male,68,4,109062.28,1,1,1,61569.07,0
Ch'iu,607,Germany,Male,32,9,107073.27,2,1,0,176580.63,0
Mazzanti,698,France,Male,48,4,156948.41,2,0,1,177815.87,1
Marchesi,695,France,Male,46,7,129248.11,1,1,0,133007.34,0
Hammonds,743,France,Male,36,4,144432.04,2,1,1,190911.02,0
Sanders,626,Germany,Female,47,2,125130.28,1,0,1,166475.44,1
Simpson,586,France,Female,60,3,124151.09,2,0,1,63241.21,1
O'Brien,788,France,Female,33,5,96423.84,2,0,0,116978.19,0
Sopuluchi,720,Spain,Male,31,4,90194.34,1,0,0,137985.69,0
Briggs,660,France,Male,35,7,146301.31,2,1,0,13218.6,0
Gonzalez,543,Germany,Male,30,6,80542.81,1,1,1,176692.65,0
She,850,Germany,Male,31,4,183579.54,1,1,1,89874.82,0
Okeke,646,Germany,Female,44,2,149136.31,1,0,0,53072.49,1
Balashova,662,France,Male,32,9,130969.77,2,0,0,65089.38,0
Lo,679,France,Male,47,10,59486.31,2,1,0,191198.92,1
Marshall,616,Spain,Male,30,5,117799.28,2,0,1,196108.51,0
Brookes,553,France,Female,27,3,138503.51,2,0,0,159800.16,0
Chukwuebuka,600,Spain,Female,50,6,121389.78,1,1,1,50488.91,0
Medvedev,507,Spain,Female,29,6,138992.48,2,0,1,94780.9,0
Onuchukwu,736,Germany,Female,26,0,138335.96,1,0,1,188037.76,0
Mironova,712,Spain,Female,29,7,134152.29,1,1,0,122547.58,0
Mao,632,France,Male,41,0,108128.52,1,0,1,105570.39,0
Hu,608,France,Male,42,5,87105.32,2,1,0,178504.29,0
McMasters,399,Germany,Male,46,2,161171.7,1,1,0,139994.68,1
McBurney,521,France,Male,43,8,124577.15,1,1,1,93180.09,0
Macgroarty,594,Germany,Female,26,6,121016.23,2,0,0,131211.86,0
Leworthy,678,France,Male,26,3,103108.17,2,1,0,4989.33,0
Manfrin,753,Germany,Male,44,3,94078.97,1,1,0,15523.09,1
Lung,776,Germany,Male,38,5,106074.89,1,0,1,89893.6,0
Trentini,708,Spain,Female,41,5,175454,1,0,1,157003.99,0
Yin,741,Spain,Male,40,4,107418.27,1,1,0,135163.76,1
Capon,716,France,Female,23,2,59697.17,2,0,1,185900.88,0
King,530,France,Male,39,2,165326.2,2,1,0,197923.05,0
Ch'iu,612,Germany,Male,46,9,106397.75,1,1,1,96961,1
Mairinger,682,France,Male,48,1,111099.79,1,0,1,168840.23,0
Donahue,643,France,Male,33,4,104930.38,2,1,1,152992.04,0
Johnson,775,France,Male,28,9,142645.43,1,1,0,149331.01,0
Bennett,498,Germany,Male,37,8,146282.79,2,1,1,14865.05,0
Tsou,651,Germany,Male,31,7,146606.6,2,1,0,129912.74,0
Crace,711,France,Female,28,8,93577.3,2,0,0,105159.89,0
Ashton,689,Germany,Male,26,4,148745.92,1,0,1,149073.88,0
Buckland,730,Spain,Female,43,1,99967.76,1,1,1,193650.16,0
Nwoye,700,France,Male,26,4,115084.53,1,1,0,141926.43,0
Kao,437,Spain,Male,28,2,181627.14,1,1,0,152987.42,0
Uspensky,704,France,Female,40,6,100082.14,1,0,1,179964.55,0
Blackburn,645,Spain,Male,49,2,141525.55,2,0,0,10023.15,0
Thomas,812,Spain,Female,24,1,88293.13,1,0,0,83247.14,0
Stobie,662,Spain,Male,37,5,76692.22,1,1,1,48233.75,0
Perrodin,589,France,Male,34,6,110928.51,2,1,1,177896.92,0
Lo,527,Spain,Female,46,10,140301.72,1,1,0,54947.51,0
Cheatham,738,Germany,Female,40,6,114268.22,2,1,1,194895.57,1
Kambinachi,850,Spain,Female,45,4,131647.01,2,1,1,109089.04,0
Benson,697,Germany,Male,43,8,92887.13,1,1,0,66893.28,1
Freeman,668,Germany,Male,34,5,121535.18,2,0,0,56780.97,0
Kerr,772,France,Male,43,6,83568.26,2,1,1,57675.88,0
Quezada,502,France,Male,33,7,144837.79,2,0,1,4082.52,0
Farrar,591,France,Male,33,9,121405.04,1,1,0,118782.06,0
Purdy,531,Spain,Male,31,2,99092.45,2,0,0,41409.36,0
Chu,753,Germany,Female,35,5,155828.22,2,0,0,18254.75,0
Marshall,484,France,Female,50,2,70105.87,2,0,0,48170.57,0
Smith,765,Germany,Female,46,8,117707.18,2,0,1,166896.01,1
Stewart,473,Germany,Female,35,7,131593.85,1,1,0,189560.43,0
Fennescey,749,France,Male,42,2,115463.16,2,0,1,185543.35,0
T'ang,710,Spain,Male,62,3,57745.76,2,1,0,119348.76,1
Chiagoziem,510,France,Male,32,9,133950.37,1,1,1,46127.7,0
Monaldo,757,Germany,Female,34,1,123760.68,2,0,0,44965.44,0
Angelo,651,Germany,Female,37,10,119545.48,2,1,1,75837.58,0
De Luca,435,Germany,Male,44,3,137482.19,1,1,0,167461.5,0
Hung,697,France,Male,40,4,117103.26,2,0,1,26543.28,0
Pai,637,France,Female,38,3,114453.58,1,0,0,119882.86,0
Gibson,598,France,Male,47,2,106414.57,2,1,1,186116.54,0
White,636,Germany,Male,36,6,119655.77,1,0,0,182059.28,0
Burt,718,France,Male,48,9,113257.2,2,1,1,72105.63,0
Savage,605,Spain,Male,41,5,56214.85,1,0,0,143203.78,0
Kennedy,729,Spain,Female,34,9,96340.81,2,1,1,42855.97,0
Cody,769,France,Female,25,10,87505.47,2,0,0,187925.75,0
Liang,419,Spain,Female,27,2,121513.31,1,0,1,134720.51,0
Hsueh,711,France,Male,64,4,96381.68,2,1,1,3185.67,0
Hs?eh,618,France,Male,39,2,99165.84,1,1,0,26578.69,0
